OBJECTID,COUNTY_NAME,STATE_NAME,STATE_ABBR,FIPS,Votes_Tot,Votes_Trump,Votes_Harris,Votes_Stein,Pct_Trump,Pct_Harris,Pct_Stein,Winner_2024,Winner_2020,Winner_2016,Median_Income,Median_Age,Pct_White_Census,Pct_Black_Census,Pct_Hispanic_Census,Pct_Bachelors_Plus,Pct_Poverty,Gini_Index,Vote_Margin_Pct,Urban_Proxy,College_Bin
1,Autauga County,Alabama,AL,01001,28230,20447,7429,48,0.7243003896563939,0.26315975912150197,0.00170031880977683,Trump,Trump,Trump,69841,39.2,0.7168255039217339,0.19952770515307416,0.03690646875263558,0.2828267961831874,0.10684306413989204,0.4515,-0.4611406305348919,Urban/High,High
2,Baldwin County,Alabama,AL,01003,121413,95144,24763,169,0.7836393137472923,0.20395674268818,0.00139194320212827,Trump,Trump,Trump,75019,43.7,0.8141324053428911,0.07978495071787285,0.05581695805288712,0.3279763704444496,0.10514698717595672,0.4589,-0.5796825710591124,Urban/High,High
3,Barbour County,Alabama,AL,01005,9789,5578,4120,13,0.5698232710184902,0.42088058024313,0.00132802124833997,Trump,Trump,Trump,44290,40.7,0.4365230035949429,0.4692006301248132,0.06018499818233227,0.11464715225777172,0.2192147806004619,0.5061,-0.14894269077536015,Suburban/Mid,Low
4,Bibb County,Alabama,AL,01007,9246,7563,1617,4,0.8179753406878649,0.17488643737832577,4.326195111399524e-4,Trump,Trump,Trump,51215,41.3,0.7373149151318166,0.20706933911159264,0.03358613217768147,0.11468206641139916,0.2051158533648056,0.4526,-0.6430889033095392,Suburban/Mid,Low
5,Blount County,Alabama,AL,01009,28072,25271,2569,39,0.900220860644058,0.0915146765460245,0.00138928469649472,Trump,Trump,Trump,61096,40.9,0.8495918505025973,0.0125986642380085,0.10055319436011605,0.1557902954307043,0.14095286797920395,0.4461,-0.8087061840980335,Urban/High,Low
6,Bullock County,Alabama,AL,01011,4109,1099,2983,1,0.2674616695059625,0.7259673886590411,2.4336821611097587e-4,Harris,Biden,Clinton,36723,40.4,0.21098749630796496,0.7122181746578714,0.05680811263168258,0.08999728923827595,0.25651127161304443,0.4981,0.4585057191530786,Rural/Low,Low
7,Butler County,Alabama,AL,01013,8472,5167,3248,5,0.6098914069877243,0.3833805476864967,5.901794145420207e-4,Trump,Trump,Trump,44881,42.2,0.5067793906524166,0.4472270962939331,0.01595150741745095,0.13764813126709208,0.21015866139600367,0.4969,-0.22651085930122755,Suburban/Mid,Low
8,Calhoun County,Alabama,AL,01015,48558,34841,13170,84,0.7175130771448577,0.271222043741505,0.00172989002841962,Trump,Trump,Trump,55826,39,0.698271928087411,0.21968985973945465,0.04434265246553758,0.2054510537092856,0.17462188175211155,0.4586,-0.4462910334033527,Urban/High,Medium
9,Chambers County,Alabama,AL,01017,14234,8704,5402,14,0.6114936068568217,0.37951384010116623,9.835604889700718e-4,Trump,Trump,Trump,49295,41.5,0.5391872278664731,0.3975907111756168,0.03686502177068215,0.14585035124979578,0.15480078380143697,0.4367,-0.23197976675565551,Suburban/Mid,Low
10,Cherokee County,Alabama,AL,01019,12987,11342,1550,14,0.8733348733348733,0.11935011935011935,0.00107800107800107,Trump,Trump,Trump,50769,47.4,0.907231208372978,0.03758325404376784,0.01732477006026007,0.1594503914363317,0.14523339643159208,0.4541,-0.753984753984754,Suburban/Mid,Low
11,Chilton County,Alabama,AL,01021,19743,16901,2697,16,0.8560502456566885,0.13660537912171403,8.104138175555895e-4,Trump,Trump,Trump,61873,39.5,0.7710329670329671,0.09175824175824177,0.09865934065934066,0.1524701596903763,0.13614793360810962,0.4259,-0.7194448665349745,Suburban/Mid,Low
12,Choctaw County,Alabama,AL,01023,6643,4094,2511,2,0.6162878217672738,0.37799187114255606,3.010687942194792e-4,Trump,Trump,Trump,44483,47,0.5655888223552894,0.38179640718562874,0.01085828343313373,0.13914203156256946,0.1953055443140429,0.4554,-0.23829595062471776,Rural/Low,Low
13,Clarke County,Alabama,AL,01025,11939,6956,4917,7,0.5826283608342407,0.4118435379847558,5.863137616215763e-4,Trump,Trump,Trump,49167,42.5,0.5119726339794755,0.45434610999035174,0.01144636435400403,0.15426531379180758,0.2054311959332917,0.5221,-0.17078482284948493,Suburban/Mid,Low
14,Clay County,Alabama,AL,01027,6719,5693,986,4,0.847298705164459,0.14674802798035422,5.953266855186784e-4,Trump,Trump,Trump,51852,43.8,0.7933464899915421,0.12968705948689033,0.03178742599379757,0.15235403060727165,0.165465032444124,0.464,-0.7005506771841048,Rural/Low,Low
15,Cleburne County,Alabama,AL,01029,7647,6984,605,3,0.9132993330717928,0.07911599319994769,3.923107100823853e-4,Trump,Trump,Trump,53319,42.3,0.9254621738560378,0.03920283204405402,0.02006031204929854,0.18211951017401712,0.13154754011404324,0.4538,-0.8341833398718451,Suburban/Mid,Low
16,Coffee County,Alabama,AL,01031,22263,17457,4585,28,0.7841261285541032,0.2059470870951803,0.00125769213493239,Trump,Trump,Trump,64672,38.8,0.6790765429366967,0.1657907838690048,0.0939683944607328,0.21528831562974204,0.17618860363649982,0.4451,-0.578179041458923,Suburban/Mid,Medium
